item_id,total_interactions,unique_users,first_timestamp,last_timestamp
1,1,1,1557062338804,1557062338804
2,2,2,1597806661430,1598474063868
3,1,1,1465301122000,1465301122000
4,1,1,1573931257061,1573931257061
5,1,1,1594492116828,1594492116828
6,2,2,1551112197461,1558302083442
7,5,5,1591295641643,1595803551438
8,1,1,1516831507507,1516831507507
9,2,2,1461679976000,1478833578000
10,1,1,1593204398436,1593204398436
11,3,3,1495498583000,1505529392591
12,48,48,1294880482000,1502322207567
13,2,2,1465250120000,1478367829000
14,1,1,1595260528438,1595260528438
15,10,10,1368622586000,1544720152045
16,1,1,1384885390000,1384885390000
17,6,6,1423168977000,1486130525000
18,1,1,1574399979726,1574399979726
19,8,8,1571266190286,1601846792193
20,1,1,1479901094000,1479901094000
21,1,1,1565477315984,1565477315984
22,8,8,1501900295053,1598121557703
23,17,17,1421269918000,1587181225355
24,2,2,1425579041000,1454626660000
25,6,6,1554147176644,1559850283943
26,1,1,1600712207701,1600712207701
27,1,1,1466454135000,1466454135000
28,6,6,1381503261000,1552488853013
29,5,5,1488328450000,1545454748413
30,9,9,1546657971781,1595596033397
31,4,3,1594480266233,1598304127837
32,3,3,1476910487000,1516162613979
33,1,1,1248060824000,1248060824000
34,2,2,1479508844000,1503374701448
35,1,1,1522556189196,1522556189196
36,1,1,1536202359747,1536202359747
37,4,4,1545615155036,1601066420666
38,2,2,1522007843234,1531285475458
39,1,1,1551180514267,1551180514267
40,2,2,1582937371148,1587564318304
41,2,2,1531182477170,1533346089146
42,4,4,1576893029459,1590728912681
43,1,1,1423872315000,1423872315000
44,2,2,1557815342090,1561763389374
45,4,4,1564332116238,1590751478474
46,17,17,1572622080799,1599336760845
47,3,3,1502478563811,1507688766760
48,1,1,1512313424445,1512313424445
49,1,1,1563649656114,1563649656114
50,5,5,1590473878281,1595371767525
51,1,1,1477421488000,1477421488000
52,9,9,1561303431959,1590847578740
53,1,1,1555258598102,1555258598102
54,1,1,1513625902850,1513625902850
55,1,1,1514235523736,1514235523736
56,2,2,1567396443747,1573562490227
57,3,3,1496889231000,1568645906108
58,1,1,1597012223341,1597012223341
59,2,2,1425219833000,1447014981000
60,4,4,1570555485427,1596981572364
61,1,1,1526175671053,1526175671053
62,6,5,1549671027398,1557756519227
63,3,3,1502501396246,1544201301916
64,1,1,1495627743000,1495627743000
65,155,153,1416034543000,1599589483488
66,1,1,1502070554594,1502070554594
67,11,11,1507786931713,1573355965323
68,11,11,1536787247194,1587920228395
69,1,1,1550198286410,1550198286410
70,9,8,1425475786000,1510410457054
71,1,1,1505569043761,1505569043761
72,2,2,1459534863000,1531924373082
73,2,2,1520964413137,1555466662226
74,11,11,1537816664111,1600199341217
75,2,2,1595714097602,1598488084789
76,2,2,1580942967955,1583601626603
77,2,2,1576702080996,1594067653469
78,2,2,1481083902000,1490662112000
79,1,1,1567797858059,1567797858059
80,1,1,1545175910730,1545175910730
81,1,1,1530386045702,1530386045702
82,3,3,1484852600000,1538070510497
83,3,3,1575582420229,1581825080906
84,9,9,1450843412000,1483398236000
85,10,10,1481657747000,1535187676796
86,1,1,1556576346830,1556576346830
87,1,1,1591611715383,1591611715383
88,2,2,1544116704285,1598512053060
89,2,2,1496765622000,1524879640917
90,1,1,1418313075000,1418313075000
91,4,4,1501616188818,1540221735720
92,7,7,1516522527718,1557604082969
93,1,1,1402436487000,1402436487000
94,1,1,1572732180635,1572732180635
95,2,2,1558723845361,1568912190119
96,1,1,1582340081194,1582340081194
97,6,6,1461594374000,1521175519001
98,2,2,1547780644837,1570339345254
99,44,44,1402926863000,1577081634752
100,1,1,1496147165000,1496147165000
101,1,1,1577043195749,1577043195749
102,2,2,1573465577209,1578857464971
103,4,4,1367430835000,1417273391000
104,2,2,1486380689000,1507800086963
105,1,1,1589883437892,1589883437892
106,5,5,1513738819868,1580882192743
107,5,5,1478632431000,1539770865702
108,1,1,1518570854181,1518570854181
109,1,1,1580929750286,1580929750286
110,4,4,1550366813346,1559501932742
111,3,3,1510494037262,1593701362990
112,1,1,1550803826862,1550803826862
113,1,1,1435164964000,1435164964000
114,1,1,1568639612478,1568639612478
115,3,3,1580351423105,1596023182187
116,4,4,1416229816000,1453121117000
117,3,3,1561806862677,1565268767767
118,4,4,1575909173939,1580660554005
119,1,1,1582298698783,1582298698783
120,3,3,1458751032000,1500865498585
121,4,4,1595355184916,1602005988568
122,1,1,1594248431331,1594248431331
123,1,1,1594606784675,1594606784675
124,1,1,1554743243488,1554743243488
125,1,1,1589841124762,1589841124762
126,1,1,1432257803000,1432257803000
127,15,14,1487083117000,1578282765400
128,3,3,1518311811504,1561348313268
129,14,13,1568235958590,1603151621260
130,4,4,1598207565713,1603162486392
131,51,51,1413737322000,1602280851558
132,72,72,1402842628000,1596900407321
133,1,1,1522101756852,1522101756852
134,1,1,1445711495000,1445711495000
135,3,3,1569348913987,1570644834148
136,1,1,1512738982047,1512738982047
137,2,2,1575317040224,1596391429025
138,2,2,1481237911000,1488940899000
139,2,2,1576613032502,1581593288691
140,1,1,1602542030383,1602542030383
141,3,3,1461258771000,1496760755000
142,2,2,1598755817455,1602163708485
143,7,7,1522389730783,1571530300167
144,3,3,1571148451042,1593564396757
145,3,3,1490311981000,1571633926991
146,41,41,1497379002357,1536618524501
147,1,1,1518223190588,1518223190588
148,1,1,1529941208348,1529941208348
149,1,1,1546627465238,1546627465238
150,4,4,1364645142000,1453696657000
151,1,1,1435238819000,1435238819000
152,2,2,1462323838000,1490405945000
153,1,1,1421864703000,1421864703000
154,1,1,1519526229381,1519526229381
155,2,2,1420177753000,1425184841000
156,1,1,1465410144000,1465410144000
157,1,1,1533830485091,1533830485091
158,2,2,1537158798284,1564147912651
159,3,3,1465856897000,1494757950000
160,2,1,1580771736595,1580771736595
161,55,55,1274706822000,1602046240880
162,25,23,1464375033000,1538692868986
163,4,4,1577652336443,1593009092457
164,1,1,1469279889000,1469279889000
165,3,3,1567650669961,1592330135617
166,15,15,1430381582000,1527878746613
167,1,1,1556221407174,1556221407174
168,3,3,1530986636273,1558646885512
169,3,3,1436304448000,1537201154077
170,1,1,1490748076000,1490748076000
171,4,4,1532037820749,1583006311665
172,12,12,1562000406242,1584804460923
173,21,20,1562888207947,1603045280342
174,1,1,1500423360752,1500423360752
175,3,3,1575527234328,1591957668809
